aargau,ag,Aargau
appenzellAusserrhoden,ar,Appenzell-Ausserrhoden
appenzellInnerrhoden,ai,Appenzell-Innerrhoden
baselLand,bl,Basel-Land
baselStadt,bs,Basel-Stadt
bern,be,Bern
fribourg,fr,Freiburg
genf,ge,Genf
glarus,gl,Glarus
graubuenden,gr,Graubünden
jura,ju,Jura
luzern,lu,Luzern
neuenburg,ne,Neuenburg
nidwalden,nw,Nidwalden
obwalden,ow,Obwalden
schaffhausen,sh,Schaffhausen
schwyz,sz,Schwyz
solothurn,so,Solothurn
stgallen,sg,St.Gallen
tessin,ti,Tessin
thurgau,tg,Thurgau
uri,ur,Uri
waadt,vd,Waadt
wallis,vs,Wallis
zuerich,zh,Zürich
zug,zg,Zug
